# (c) Der Bundeswahlleiter, Wiesbaden 2017;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;
# Die Wahlbewerberinnen und Wahlbewerber zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;
# Codepage: UTF-8, Trennzeichen: Semikolon;;;;;;;;;;;;;;;;;;
# Stand: 4. September 2017 (2. Korrektur);;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;
Titel;Namenszusatz;Name;Vorname;Geschlecht;Geburtsjahr;Wohnort;Geburtsort;Beruf;Wahlkreis_Land;Wahlkreis_Nr;Wahlkreis_Bez;Wahlkreis_ParteiKurzBez;Wahlkreis_ParteiBez;Liste_Land;Liste_ParteiKurzBez;Liste_ParteiBez;Liste_Platz;Wiederkandidatur
;;Abaga Ayingono;Carlos;m;1953;Münster;Ebebiyin-Äquatorialguinea;Gastwirt;NW;129;Münster;EB: Abaga Ayingono;DIE STIMME DER STIMMENLOSEN;;;;;
;;Abdinghoff-Feldkemper;Olaf;m;1964;Wallenhorst;Braunschweig;Geschäftsführer;;;;;;NI;SPD;Sozialdemokratische Partei Deutschlands;33;
;;Abel;Valentin Christian;m;1991;Schöntal;Künzelsau;kfm. Angestellter;BW;268;Schwäbisch Hall – Hohenlohe;FDP;Freie Demokratische Partei;BW;FDP;Freie Demokratische Partei;23;
;;Abelmann;Jürgen;m;1958;Bassum;Kiel;Rentner;NI;33;Diepholz – Nienburg I;DIE LINKE;DIE LINKE;;;;;
Dr.;von;Abercron;Michael;m;1952;Elmshorn;Ehlerstorf;Dipl.-Agraringenieur / Angestellter ö. D. / Unternehmer;SH;7;Pinneberg;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;SH;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;10;
;;Abmayr;Ruth Maria;w;1968;Günzburg;Günzburg;Angestellte;BY;252;Augsburg-Stadt;FREIE WÄHLER;FREIE WÄHLER;BY;FREIE WÄHLER;FREIE WÄHLER;22;
;;Achelwilm;Doris Maria;w;1976;Bremen;Thuine;Angestellte;;;;;;HB;DIE LINKE;DIE LINKE;1;
;;Achenbach;Ulrich;m;1954;Bochum;Bochum;kfm. Angestellter;;;;;;NW;MLPD;Marxistisch-Leninistische Partei Deutschlands;19;
;;Achilles;Matthias;m;1991;Aachen;Stolberg;Student;NW;87;Aachen I;PIRATEN;Piratenpartei Deutschland;;;;;
;;Achtziger;Alina Christiane;w;1999;Bamberg;Bamberg;Schülerin;;;;;;BY;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;3;
;;Acker;Reinmund Adam Johannes;m;1949;Puchheim;Offenbach am Main;selbständig;;;;;;BY;BGE;Bündnis Grundeinkommen;1;
Dr.;;Ackermann;Lothar;m;1953;Idar-Oberstein;Niederlahnstein;Geschäftsführer;RP;201;Kreuznach;FDP;Freie Demokratische Partei;RP;FDP;Freie Demokratische Partei;11;
;;Ackmann;Petra;w;1966;Hamburg;Hamburg;Steuerberaterin;;;;;;HH;SPD;Sozialdemokratische Partei Deutschlands;9;
;;Adamski;Klaus Jürgen;m;1952;Hamburg;Römhild;techn. Angestellter;;;;;;HH;MLPD;Marxistisch-Leninistische Partei Deutschlands;10;
;;Adamski;Yvonne;w;1978;Recklinghausen;Recklinghausen;Einzelhandelskauffrau;NW;121;Recklinghausen I;MLPD;Marxistisch-Leninistische Partei Deutschlands;;;;;
;;Adelsberger;Eric;m;1990;Rostock;Stralsund;Kaufmann;MV;14;Rostock – Landkreis Rostock II;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;MV;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;1;
;;Affani;Nadia;w;1976;Göttingen;Steinheim (Westf.);wiss. Mitarbeiterin;;;;;;NI;SPD;Sozialdemokratische Partei Deutschlands;34;
;;Agena;Garrelt Itzen;m;1955;Krummhörn;Hage;Landwirt;NI;24;Aurich – Emden;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;NI;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;14;
;;Aggelidis;Grigorios;m;1965;Neustadt am Rübenberge;Hannover;Vermögensverwalter;NI;43;Hannover-Land I;FDP;Freie Demokratische Partei;NI;FDP;Freie Demokratische Partei;3;
;;Agu;Diyar;m;1999;Gummersbach;Gummersbach;Schüler;NW;99;Oberbergischer Kreis;DIE LINKE;DIE LINKE;NW;DIE LINKE;DIE LINKE;24;
;;Ahrends;Marco;m;1982;Berlin;Wilhelmshaven;Student / Bürokraft;;;;;;BE;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;41;
;;Ahrens;Martin;m;1977;Hüttblek;Stolp;Bilanzbuchhalter;;;;;;SH;SPD;Sozialdemokratische Partei Deutschlands;13;
;;Ahrens;Petra;w;1969;Nürnberg;Bremen;Kindertherapeutin (HpG) / Masseurin;;;;;;BY;DM;Deutsche Mitte;5;
;;Ahrens;Thorsten;m;1968;Görlitz;Bremervörde;Dipl.-Sozialpädagoge (FH);SN;157;Görlitz;DIE LINKE;DIE LINKE;;;;;
;;Aicher;Julian;m;1958;Leutkirch im Allgäu;Ulm;Journalist;;;;;;BW;ÖDP;Ökologisch-Demokratische Partei;9;
;;Aiwanger;Hubert;m;1971;Rottenburg a.d.Laaber;Ergoldsbach;MdL / Landwirt / Agraringenieur;BY;228;Landshut;FREIE WÄHLER;FREIE WÄHLER;BY;FREIE WÄHLER;FREIE WÄHLER;1;
;;Akbulut;Gökay;w;1982;Mannheim;Pinarbaşi, Türkei;Sozialwissenschaftlerin;BW;275;Mannheim;DIE LINKE;DIE LINKE;BW;DIE LINKE;DIE LINKE;3;
;;Akcur;Mehmet;m;1975;Ritterhude;Bremen;Projektmanager;;;;;;NI;DiB;DEMOKRATIE IN BEWEGUNG;3;
;;Aktürk;Erhan;m;1965;Landshut;Kigi/Bingol, Türkei;Schlosser;;;;;;NW;MLPD;Marxistisch-Leninistische Partei Deutschlands;2;
