Adresse,Stimmart,Bezirksnummer,Bezirksname,Wahlbezirk,Wahlbezirksart,"Abgeordneten-
hauswahlkreis","Bundestags-
wahlkreis",OstWest,Wahlberechtigte insgesamt,Wahlberechtigte A1,Wahlberechtigte A2,Wahlberechtigte A3,Wähler,Wähler B1,Ungültige Stimmen,Gültige Stimmen,CDU,SPD,DIE LINKE,GRÜNE,AfD,PIRATEN,FDP,Die PARTEI,FREIE WÄHLER,ÖDP,BüSo,MLPD,SGP,B*,BGE,DiB,DKP,DM,Die Grauen,du.,MENSCHLICHE WELT,"Gesundheits-
forschung","Tierschutz-
partei",V-Partei³,DIE FRAUEN,EB Schirm,EB Felde-Bajerowitz,EB Fielsch,EB Wendt,EB Blume,EB Pape,EB Beckmann,MIETERPARTEI,NPD,EB Ritter,EB Hasel,EB Snelinski
01W100,1,01,Mitte,100,W,01,75,W,1307,1041,266,0,577,5,15,562,109,152,106,76,58,0,30,16,4,5,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W101,1,01,Mitte,101,W,01,75,O,1531,983,548,0,768,14,6,762,160,169,130,146,52,0,75,18,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
01W102,1,01,Mitte,102,W,01,75,O,1319,816,503,0,612,5,2,610,148,121,88,115,47,0,63,20,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W103,1,01,Mitte,103,W,01,75,O,1598,994,604,0,786,0,1,785,183,140,132,157,44,0,89,30,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
01W104,1,01,Mitte,104,W,01,75,O,1274,776,498,0,616,17,5,611,129,122,93,154,36,0,54,16,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W105,1,01,Mitte,105,W,01,75,O,1078,693,385,0,523,6,6,517,88,126,123,91,33,0,35,15,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01W106,1,01,Mitte,106,W,01,75,O,1436,832,604,0,672,15,2,670,154,140,93,139,46,0,82,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01W107,1,01,Mitte,107,W,01,75,O,1127,764,363,0,615,0,9,606,102,113,118,153,40,0,56,13,1,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
01W108,1,01,Mitte,108,W,01,75,O,1017,629,388,0,486,8,4,482,133,106,88,59,34,0,50,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W109,1,01,Mitte,109,W,01,75,W,1136,902,234,0,540,4,10,530,154,142,78,32,66,0,29,15,3,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01W110,1,01,Mitte,110,W,01,75,O,1583,1006,577,0,855,14,8,847,142,185,146,238,37,0,56,30,1,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
01W111,1,01,Mitte,111,W,01,75,O,1030,669,361,0,559,14,1,558,98,131,105,137,22,0,38,21,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
01W112,1,01,Mitte,112,W,01,75,O,1215,796,419,0,607,15,3,604,89,106,145,160,32,0,43,20,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
01W113,1,01,Mitte,113,W,01,75,O,1191,790,401,0,677,20,5,672,85,154,135,208,28,0,39,15,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
01W114,1,01,Mitte,114,W,01,75,O,1471,956,515,0,746,21,5,741,116,161,126,209,34,0,51,33,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
