Adresse,Stimmart,Bezirksnummer,Bezirksname,Wahlbezirk,Wahlbezirksart,"Abgeordneten-
hauswahlkreis","Bundestags-
wahlkreis",OstWest,Wahlberechtigte insgesamt,Wahlberechtigte A1,Wahlberechtigte A2,Wahlberechtigte A3,Wähler,Wähler B1,Ungültige Stimmen,Gültige Stimmen,CDU,SPD,DIE LINKE,GRÜNE,AfD,PIRATEN,FDP,Die PARTEI,FREIE WÄHLER,ÖDP,BüSo,MLPD,SGP,B*,BGE,DiB,DKP,DM,Die Grauen,du.,MENSCHLICHE WELT,"Gesundheits-
forschung","Tierschutz-
partei",V-Partei³,DIE FRAUEN,EB Schirm,EB Felde-Bajerowitz,EB Fielsch,EB Wendt,EB Blume,EB Pape,EB Beckmann,MIETERPARTEI,NPD,EB Ritter,EB Hasel,EB Snelinski
01W100,2,01,Mitte,100,W,01,75,W,1307,1041,266,0,577,5,14,563,110,132,107,73,62,14,32,11,1,2,0,0,0,0,0,2,1,4,2,1,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
01W101,2,01,Mitte,101,W,01,75,O,1531,983,548,0,768,14,6,762,179,117,146,137,50,3,99,8,2,1,0,0,0,0,4,4,1,2,1,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01W102,2,01,Mitte,102,W,01,75,O,1319,816,503,0,612,5,2,610,149,89,76,119,49,2,96,9,1,0,0,0,0,0,2,1,0,1,2,6,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W103,2,01,Mitte,103,W,01,75,O,1598,994,604,0,786,0,4,782,169,110,149,140,42,4,127,18,0,2,0,0,0,1,2,7,0,2,0,1,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
01W104,2,01,Mitte,104,W,01,75,O,1274,776,498,0,616,17,4,612,135,94,99,137,38,2,80,10,1,0,0,0,0,0,2,4,1,2,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
01W105,2,01,Mitte,105,W,01,75,O,1078,693,385,0,523,6,6,517,94,75,128,105,36,1,56,10,0,4,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01W106,2,01,Mitte,106,W,01,75,O,1436,832,604,0,672,15,2,670,141,101,93,146,54,5,109,11,0,0,0,0,0,0,3,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W107,2,01,Mitte,107,W,01,75,O,1127,764,363,0,615,0,6,609,121,95,123,128,41,0,73,6,0,1,0,1,0,0,1,4,1,7,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W108,2,01,Mitte,108,W,01,75,O,1017,629,388,0,486,8,4,482,138,60,94,60,30,1,81,4,1,0,0,0,0,0,2,3,0,0,3,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01W109,2,01,Mitte,109,W,01,75,W,1136,902,234,0,540,4,11,529,131,128,77,38,69,6,44,6,2,2,1,1,1,0,2,2,0,1,1,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
